Time,Scenario,Bandwidth_Mbps,Latency_ms,CPU_Usage_percent,Task_Size_MB,Existing_Decision,Decision_Score,Reasons
1,Stable,85,19.0,20.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
20,Stable,77,25.0,32.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
21,Stable,85,21.0,30.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
22,Stable,78,18.0,30.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
23,Stable,79,19.0,26.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
24,Stable,80,21.0,40.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
25,Stable,81,25.0,24.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
26,Stable,77,21.0,37.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
27,Stable,79,24.0,38.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
28,Stable,80,21.0,24.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
29,Stable,82,19.0,21.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
30,Stable,77,20.0,33.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
31,Stable,76,24.0,32.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
32,Stable,82,22.0,37.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
33,Stable,85,19.0,37.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
34,Stable,85,23.0,23.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
35,Stable,81,20.0,34.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
36,Stable,79,20.0,36.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
37,Stable,85,22.0,40.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
38,Stable,84,21.0,24.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
39,Stable,77,18.0,39.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
40,Stable,82,18.0,23.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
41,Stable,79,21.0,21.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
42,Stable,84,19.0,22.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
43,Stable,76,20.0,24.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
44,Stable,83,20.0,28.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
45,Stable,84,24.0,26.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
46,Stable,78,22.0,32.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
47,Stable,82,25.0,23.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
48,Stable,78,19.0,30.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
49,Stable,84,21.0,38.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
50,Stable,75,19.0,40.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
51,Stable,78,19.0,21.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
52,Stable,76,21.0,28.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
53,Stable,78,20.0,38.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
54,Stable,82,21.0,35.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
55,Stable,78,19.0,23.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
56,Stable,80,24.0,33.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
57,Stable,75,19.0,21.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
58,Stable,80,19.0,27.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
59,Stable,78,25.0,24.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
60,Stable,77,22.0,34.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
61,Stable,76,25.0,37.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
62,Stable,75,18.0,22.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
63,Stable,77,24.0,35.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
64,Stable,78,24.0,21.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
65,Stable,81,18.0,32.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
66,Stable,82,22.0,33.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
67,Stable,85,25.0,24.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
68,Stable,79,21.0,21.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
69,Stable,83,18.0,30.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
70,Stable,75,25.0,36.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
71,Stable,77,18.0,36.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
72,Stable,77,19.0,39.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
73,Stable,85,21.0,32.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
74,Stable,84,21.0,38.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
75,Stable,75,19.0,33.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
76,Stable,84,23.0,28.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
77,Stable,85,23.0,27.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
78,Stable,81,20.0,40.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
79,Stable,82,23.0,22.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
80,Stable,82,19.0,22.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
81,Stable,78,22.0,24.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
82,Stable,76,21.0,31.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
83,Stable,77,25.0,37.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
84,Stable,84,18.0,37.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
85,Stable,85,19.0,24.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
86,Stable,76,19.0,37.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
87,Stable,79,22.0,39.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
88,Stable,80,21.0,40.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
89,Stable,83,25.0,28.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
90,Stable,76,24.0,28.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
91,Stable,75,23.0,24.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
92,Stable,77,25.0,37.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
93,Stable,83,18.0,23.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
94,Stable,77,18.0,31.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
95,Stable,83,20.0,33.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
96,Stable,75,22.0,31.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
97,Stable,80,21.0,27.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
98,Stable,80,24.0,39.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
99,Stable,78,20.0,25.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
100,Stable,75,20.0,30.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
101,Stable,85,21.0,28.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
102,Stable,76,24.0,21.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
103,Stable,78,21.0,34.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
104,Stable,79,21.0,27.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
105,Stable,85,21.0,32.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
106,Stable,79,19.0,28.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
107,Stable,85,24.0,37.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
108,Stable,75,19.0,28.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
109,Stable,84,22.0,21.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
110,Stable,84,24.0,31.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
111,Stable,81,19.0,32.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
112,Stable,78,22.0,21.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
113,Stable,75,21.0,31.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
114,Stable,76,23.0,39.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
115,Stable,85,19.0,29.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
116,Stable,79,24.0,30.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
117,Stable,79,20.0,26.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
118,Stable,85,24.0,25.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
119,Stable,84,22.0,32.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
120,Stable,75,22.0,29.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
121,Stable,81,23.0,34.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
122,Stable,82,21.0,36.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
123,Stable,77,19.0,29.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
124,Stable,85,23.0,22.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
125,Stable,85,22.0,27.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
126,Stable,77,18.0,21.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
127,Stable,82,19.0,34.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
128,Stable,85,21.0,32.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
129,Stable,81,21.0,24.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
130,Stable,76,24.0,27.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
131,Stable,83,25.0,21.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
132,Stable,78,19.0,34.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
133,Stable,82,23.0,34.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
134,Stable,83,24.0,37.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
135,Stable,77,25.0,34.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
136,Stable,78,22.0,36.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
137,Stable,85,21.0,28.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
138,Stable,76,22.0,27.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
139,Stable,80,23.0,37.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
140,Stable,77,20.0,27.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
141,Stable,77,21.0,22.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
142,Stable,81,23.0,37.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
143,Stable,81,18.0,26.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
144,Stable,81,18.0,38.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
145,Stable,82,18.0,31.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
146,Stable,81,24.0,37.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
147,Stable,84,21.0,35.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
148,Stable,79,24.0,35.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
149,Stable,81,23.0,32.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
150,Stable,82,20.0,39.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
151,Stable,75,24.0,38.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
152,Stable,85,18.0,22.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
153,Stable,77,25.0,25.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
154,Stable,79,24.0,30.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
155,Stable,82,23.0,30.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
156,Stable,79,24.0,28.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
157,Stable,82,18.0,37.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
158,Stable,80,21.0,40.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
159,Stable,85,18.0,20.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
160,Stable,78,18.0,39.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
161,Stable,78,20.0,35.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
162,Stable,84,21.0,34.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
163,Stable,80,20.0,39.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
164,Stable,76,20.0,29.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
165,Stable,84,18.0,29.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
166,Stable,85,24.0,32.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
167,Stable,76,21.0,23.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
168,Stable,85,19.0,38.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
169,Stable,80,24.0,31.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
170,Stable,83,23.0,20.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
171,Stable,82,19.0,33.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
172,Stable,85,25.0,24.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
173,Stable,77,22.0,39.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
174,Stable,82,25.0,33.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
175,Stable,79,23.0,27.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
176,Stable,79,25.0,27.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
177,Stable,84,24.0,30.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
178,Stable,82,23.0,25.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
179,Stable,78,23.0,28.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
180,Stable,79,22.0,37.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
181,Stable,83,21.0,22.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
182,Stable,81,25.0,37.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
183,Stable,82,25.0,34.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
184,Stable,76,22.0,27.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
185,Stable,78,22.0,38.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
186,Stable,82,23.0,33.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
187,Stable,80,23.0,34.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
188,Stable,79,22.0,27.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
189,Stable,78,23.0,23.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
190,Stable,77,21.0,26.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
191,Stable,79,22.0,23.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
192,Stable,79,21.0,31.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
193,Stable,79,18.0,37.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
194,Stable,79,18.0,21.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
195,Stable,79,20.0,40.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
196,Stable,76,18.0,38.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
197,Stable,82,25.0,34.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
198,Stable,77,18.0,28.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
199,Stable,76,19.0,32.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
200,Stable,76,18.0,24.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
201,Stable,84,22.0,22.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
202,Stable,76,24.0,39.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
203,Stable,84,21.0,36.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
204,Stable,82,25.0,29.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
205,Stable,81,22.0,38.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
206,Stable,75,19.0,26.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
207,Stable,79,19.0,25.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
208,Stable,77,19.0,25.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
209,Stable,81,25.0,39.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
210,Stable,79,18.0,27.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
211,Stable,79,25.0,22.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
212,Stable,79,21.0,33.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
213,Stable,83,21.0,40.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
214,Stable,79,20.0,22.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
215,Stable,77,22.0,39.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
216,Stable,79,25.0,23.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
217,Stable,79,24.0,28.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
218,Stable,83,25.0,34.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
219,Stable,84,18.0,33.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
220,Stable,84,22.0,20.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
221,Stable,78,18.0,28.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
222,Stable,75,20.0,35.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
223,Stable,85,25.0,28.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
224,Stable,84,24.0,40.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
225,Stable,76,25.0,31.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
226,Stable,80,23.0,23.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
227,Stable,80,24.0,35.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
228,Stable,85,24.0,37.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
229,Stable,82,19.0,30.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
230,Stable,80,19.0,32.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
231,Stable,75,25.0,33.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
232,Stable,78,23.0,39.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
233,Stable,85,25.0,21.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
234,Stable,79,20.0,29.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
235,Stable,82,19.0,20.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
236,Stable,78,20.0,29.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
237,Stable,75,24.0,22.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
238,Stable,76,25.0,23.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
239,Stable,82,22.0,36.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
240,Stable,81,25.0,35.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
241,Stable,82,20.0,32.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
242,Stable,84,20.0,22.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
243,Stable,81,23.0,36.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
244,Stable,75,22.0,29.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
245,Stable,84,25.0,24.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
246,Stable,83,25.0,31.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
247,Stable,83,24.0,34.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
248,Stable,78,21.0,38.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
249,Stable,78,24.0,21.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
250,Stable,82,24.0,32.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
251,Stable,82,18.0,24.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
252,Stable,84,23.0,23.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
253,Stable,76,25.0,20.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
254,Stable,81,20.0,22.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
255,Stable,79,23.0,39.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
256,Stable,85,19.0,30.0,9.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
257,Stable,81,23.0,40.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
258,Stable,83,18.0,39.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
259,Stable,78,22.0,27.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
260,Stable,81,19.0,40.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
261,Stable,82,20.0,29.0,1.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
262,Stable,75,23.0,21.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
263,Stable,80,23.0,33.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
264,Stable,78,24.0,38.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
265,Stable,77,20.0,22.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
266,Stable,81,21.0,35.0,10.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
267,Stable,77,21.0,34.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
268,Stable,82,22.0,20.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
269,Stable,79,20.0,22.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
270,Stable,80,22.0,40.0,7.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
271,Stable,79,25.0,29.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
272,Stable,81,25.0,23.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
273,Stable,81,23.0,38.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
274,Stable,79,18.0,32.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
275,Stable,75,18.0,39.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
276,Stable,79,21.0,39.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
277,Stable,78,21.0,39.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
278,Stable,85,20.0,40.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
279,Stable,85,18.0,29.0,8.0,EDGE,2,Low current latency; Low CPU utilization; Large computational task
280,Stable,75,23.0,24.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
281,Stable,79,23.0,33.0,3.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
282,Stable,78,20.0,37.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
283,Stable,83,22.0,25.0,5.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
284,Stable,82,22.0,30.0,2.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
285,Stable,82,19.0,24.0,4.0,EDGE,0,Low current latency; Low CPU utilization; Small computational task
286,Stable,85,24.0,37.0,6.0,EDGE,1,Low current latency; Low CPU utilization; Medium computational task
