Time,Scenario,Bandwidth_Mbps,Latency_ms,CPU_Usage_percent,Task_Size_MB,Existing_Decision,Proposed_Decision,Proposed_Status,Proposed_Predicted_Latency_ms
29,Stable,82.0,19.0,21.0,2.0,EDGE,EDGE,prediction_complete,24.33
30,Stable,77.0,20.0,33.0,10.0,EDGE,EDGE,prediction_complete,23.85
31,Stable,76.0,24.0,32.0,10.0,EDGE,EDGE,prediction_complete,23.68
32,Stable,82.0,22.0,37.0,1.0,EDGE,EDGE,prediction_complete,25.01
33,Stable,85.0,19.0,37.0,5.0,EDGE,EDGE,prediction_complete,25.23
34,Stable,85.0,23.0,23.0,5.0,EDGE,EDGE,prediction_complete,24.77
35,Stable,81.0,20.0,34.0,1.0,EDGE,EDGE,prediction_complete,25.27
36,Stable,79.0,20.0,36.0,2.0,EDGE,EDGE,prediction_complete,25.62
37,Stable,85.0,22.0,40.0,9.0,EDGE,EDGE,prediction_complete,25.26
38,Stable,84.0,21.0,24.0,6.0,EDGE,EDGE,prediction_complete,24.89
39,Stable,77.0,18.0,39.0,6.0,EDGE,EDGE,prediction_complete,25.04
40,Stable,82.0,18.0,23.0,6.0,EDGE,EDGE,prediction_complete,24.58
41,Stable,79.0,21.0,21.0,4.0,EDGE,EDGE,prediction_complete,24.27
42,Stable,84.0,19.0,22.0,8.0,EDGE,EDGE,prediction_complete,23.42
43,Stable,76.0,20.0,24.0,8.0,EDGE,EDGE,prediction_complete,22.94
44,Stable,83.0,20.0,28.0,9.0,EDGE,EDGE,prediction_complete,22.84
45,Stable,84.0,24.0,26.0,9.0,EDGE,EDGE,prediction_complete,22.4
46,Stable,78.0,22.0,32.0,6.0,EDGE,EDGE,prediction_complete,22.48
47,Stable,82.0,25.0,23.0,4.0,EDGE,EDGE,prediction_complete,22.7
48,Stable,78.0,19.0,30.0,1.0,EDGE,EDGE,prediction_complete,23.5
49,Stable,84.0,21.0,38.0,4.0,EDGE,EDGE,prediction_complete,23.96
50,Stable,75.0,19.0,40.0,1.0,EDGE,EDGE,prediction_complete,25.03
51,Stable,78.0,19.0,21.0,6.0,EDGE,EDGE,prediction_complete,24.48
52,Stable,76.0,21.0,28.0,8.0,EDGE,EDGE,prediction_complete,24.33
53,Stable,78.0,20.0,38.0,10.0,EDGE,EDGE,prediction_complete,24.41
54,Stable,82.0,21.0,35.0,7.0,EDGE,EDGE,prediction_complete,24.85
55,Stable,78.0,19.0,23.0,7.0,EDGE,EDGE,prediction_complete,24.62
56,Stable,80.0,24.0,33.0,8.0,EDGE,EDGE,prediction_complete,24.59
57,Stable,75.0,19.0,21.0,7.0,EDGE,EDGE,prediction_complete,24.21
58,Stable,80.0,19.0,27.0,4.0,EDGE,EDGE,prediction_complete,24.24
59,Stable,78.0,25.0,24.0,7.0,EDGE,EDGE,prediction_complete,23.89
60,Stable,77.0,22.0,34.0,4.0,EDGE,EDGE,prediction_complete,24.06
61,Stable,76.0,25.0,37.0,2.0,EDGE,EDGE,prediction_complete,25.41
62,Stable,75.0,18.0,22.0,4.0,EDGE,EDGE,prediction_complete,24.89
63,Stable,77.0,24.0,35.0,8.0,EDGE,EDGE,prediction_complete,24.92
64,Stable,78.0,24.0,21.0,3.0,EDGE,EDGE,prediction_complete,24.99
65,Stable,81.0,18.0,32.0,5.0,EDGE,EDGE,prediction_complete,25.22
66,Stable,82.0,22.0,33.0,9.0,EDGE,EDGE,prediction_complete,24.95
67,Stable,85.0,25.0,24.0,4.0,EDGE,EDGE,prediction_complete,24.98
68,Stable,79.0,21.0,21.0,10.0,EDGE,EDGE,prediction_complete,23.98
69,Stable,83.0,18.0,30.0,1.0,EDGE,EDGE,prediction_complete,24.54
70,Stable,75.0,25.0,36.0,9.0,EDGE,EDGE,prediction_complete,24.24
71,Stable,77.0,18.0,36.0,2.0,EDGE,EDGE,prediction_complete,24.7
72,Stable,77.0,19.0,39.0,2.0,EDGE,EDGE,prediction_complete,25.52
73,Stable,85.0,21.0,32.0,2.0,EDGE,EDGE,prediction_complete,25.86
74,Stable,84.0,21.0,38.0,10.0,EDGE,EDGE,prediction_complete,25.4
75,Stable,75.0,19.0,33.0,10.0,EDGE,EDGE,prediction_complete,24.9
76,Stable,84.0,23.0,28.0,4.0,EDGE,EDGE,prediction_complete,25.13
77,Stable,85.0,23.0,27.0,5.0,EDGE,EDGE,prediction_complete,25.05
78,Stable,81.0,20.0,40.0,5.0,EDGE,EDGE,prediction_complete,25.58
79,Stable,82.0,23.0,22.0,1.0,EDGE,EDGE,prediction_complete,25.51
80,Stable,82.0,19.0,22.0,9.0,EDGE,EDGE,prediction_complete,24.33
81,Stable,78.0,22.0,24.0,6.0,EDGE,EDGE,prediction_complete,23.76
82,Stable,76.0,21.0,31.0,5.0,EDGE,EDGE,prediction_complete,23.66
83,Stable,77.0,25.0,37.0,5.0,EDGE,EDGE,prediction_complete,24.18
84,Stable,84.0,18.0,37.0,5.0,EDGE,EDGE,prediction_complete,24.71
85,Stable,85.0,19.0,24.0,5.0,EDGE,EDGE,prediction_complete,24.47
86,Stable,76.0,19.0,37.0,3.0,EDGE,EDGE,prediction_complete,24.97
87,Stable,79.0,22.0,39.0,4.0,EDGE,EDGE,prediction_complete,25.6
88,Stable,80.0,21.0,40.0,5.0,EDGE,EDGE,prediction_complete,25.87
89,Stable,83.0,25.0,28.0,1.0,EDGE,EDGE,prediction_complete,26.19
90,Stable,76.0,24.0,28.0,1.0,EDGE,EDGE,prediction_complete,26.6
91,Stable,75.0,23.0,24.0,5.0,EDGE,EDGE,prediction_complete,26.14
92,Stable,77.0,25.0,37.0,7.0,EDGE,EDGE,prediction_complete,26.11
93,Stable,83.0,18.0,23.0,2.0,EDGE,EDGE,prediction_complete,25.91
94,Stable,77.0,18.0,31.0,10.0,EDGE,EDGE,prediction_complete,25.22
95,Stable,83.0,20.0,33.0,3.0,EDGE,EDGE,prediction_complete,25.79
96,Stable,75.0,22.0,31.0,1.0,EDGE,EDGE,prediction_complete,26.03
97,Stable,80.0,21.0,27.0,2.0,EDGE,EDGE,prediction_complete,25.96
98,Stable,80.0,24.0,39.0,3.0,EDGE,EDGE,prediction_complete,26.37
99,Stable,78.0,20.0,25.0,7.0,EDGE,EDGE,prediction_complete,25.62
100,Stable,75.0,20.0,30.0,7.0,EDGE,EDGE,prediction_complete,25.13
101,Stable,85.0,21.0,28.0,3.0,EDGE,EDGE,prediction_complete,25.31
102,Stable,76.0,24.0,21.0,8.0,EDGE,EDGE,prediction_complete,24.42
103,Stable,78.0,21.0,34.0,6.0,EDGE,EDGE,prediction_complete,24.71
104,Stable,79.0,21.0,27.0,1.0,EDGE,EDGE,prediction_complete,25.27
105,Stable,85.0,21.0,32.0,6.0,EDGE,EDGE,prediction_complete,25.17
106,Stable,79.0,19.0,28.0,6.0,EDGE,EDGE,prediction_complete,24.64
107,Stable,85.0,24.0,37.0,6.0,EDGE,EDGE,prediction_complete,24.82
108,Stable,75.0,19.0,28.0,3.0,EDGE,EDGE,prediction_complete,24.67
109,Stable,84.0,22.0,21.0,2.0,EDGE,EDGE,prediction_complete,24.72
110,Stable,84.0,24.0,31.0,6.0,EDGE,EDGE,prediction_complete,24.52
111,Stable,81.0,19.0,32.0,10.0,EDGE,EDGE,prediction_complete,24.01
112,Stable,78.0,22.0,21.0,7.0,EDGE,EDGE,prediction_complete,23.58
113,Stable,75.0,21.0,31.0,7.0,EDGE,EDGE,prediction_complete,23.53
114,Stable,76.0,23.0,39.0,6.0,EDGE,EDGE,prediction_complete,24.07
115,Stable,85.0,19.0,29.0,9.0,EDGE,EDGE,prediction_complete,23.95
116,Stable,79.0,24.0,30.0,7.0,EDGE,EDGE,prediction_complete,24.02
117,Stable,79.0,20.0,26.0,7.0,EDGE,EDGE,prediction_complete,23.82
118,Stable,85.0,24.0,25.0,10.0,EDGE,EDGE,prediction_complete,23.24
119,Stable,84.0,22.0,32.0,9.0,EDGE,EDGE,prediction_complete,23.22
120,Stable,75.0,22.0,29.0,4.0,EDGE,EDGE,prediction_complete,23.51
121,Stable,81.0,23.0,34.0,8.0,EDGE,EDGE,prediction_complete,23.72
122,Stable,82.0,21.0,36.0,8.0,EDGE,EDGE,prediction_complete,23.96
123,Stable,77.0,19.0,29.0,9.0,EDGE,EDGE,prediction_complete,23.58
124,Stable,85.0,23.0,22.0,4.0,EDGE,EDGE,prediction_complete,23.41
125,Stable,85.0,22.0,27.0,4.0,EDGE,EDGE,prediction_complete,23.7
126,Stable,77.0,18.0,21.0,4.0,EDGE,EDGE,prediction_complete,23.37
127,Stable,82.0,19.0,34.0,7.0,EDGE,EDGE,prediction_complete,23.45
128,Stable,85.0,21.0,32.0,8.0,EDGE,EDGE,prediction_complete,23.54
129,Stable,81.0,21.0,24.0,1.0,EDGE,EDGE,prediction_complete,23.9
130,Stable,76.0,24.0,27.0,3.0,EDGE,EDGE,prediction_complete,23.84
131,Stable,83.0,25.0,21.0,9.0,EDGE,EDGE,prediction_complete,23.13
132,Stable,78.0,19.0,34.0,3.0,EDGE,EDGE,prediction_complete,23.7
133,Stable,82.0,23.0,34.0,10.0,EDGE,EDGE,prediction_complete,23.59
134,Stable,83.0,24.0,37.0,8.0,EDGE,EDGE,prediction_complete,23.99
135,Stable,77.0,25.0,34.0,5.0,EDGE,EDGE,prediction_complete,24.47
136,Stable,78.0,22.0,36.0,8.0,EDGE,EDGE,prediction_complete,24.65
137,Stable,85.0,21.0,28.0,8.0,EDGE,EDGE,prediction_complete,24.46
138,Stable,76.0,22.0,27.0,5.0,EDGE,EDGE,prediction_complete,24.56
139,Stable,80.0,23.0,37.0,2.0,EDGE,EDGE,prediction_complete,25.55
140,Stable,77.0,20.0,27.0,7.0,EDGE,EDGE,prediction_complete,24.82
141,Stable,77.0,21.0,22.0,7.0,EDGE,EDGE,prediction_complete,24.55
142,Stable,81.0,23.0,37.0,8.0,EDGE,EDGE,prediction_complete,24.54
143,Stable,81.0,18.0,26.0,7.0,EDGE,EDGE,prediction_complete,24.34
144,Stable,81.0,18.0,38.0,7.0,EDGE,EDGE,prediction_complete,24.53
145,Stable,82.0,18.0,31.0,5.0,EDGE,EDGE,prediction_complete,24.46
146,Stable,81.0,24.0,37.0,9.0,EDGE,EDGE,prediction_complete,24.36
147,Stable,84.0,21.0,35.0,4.0,EDGE,EDGE,prediction_complete,24.93
148,Stable,79.0,24.0,35.0,1.0,EDGE,EDGE,prediction_complete,25.53
149,Stable,81.0,23.0,32.0,3.0,EDGE,EDGE,prediction_complete,25.51
150,Stable,82.0,20.0,39.0,9.0,EDGE,EDGE,prediction_complete,25.29
151,Stable,75.0,24.0,38.0,10.0,EDGE,EDGE,prediction_complete,25.22
152,Stable,85.0,18.0,22.0,7.0,EDGE,EDGE,prediction_complete,24.67
153,Stable,77.0,25.0,25.0,1.0,EDGE,EDGE,prediction_complete,25.09
154,Stable,79.0,24.0,30.0,4.0,EDGE,EDGE,prediction_complete,25.23
155,Stable,82.0,23.0,30.0,7.0,EDGE,EDGE,prediction_complete,25.04
156,Stable,79.0,24.0,28.0,2.0,EDGE,EDGE,prediction_complete,25.35
157,Stable,82.0,18.0,37.0,1.0,EDGE,EDGE,prediction_complete,25.99
158,Stable,80.0,21.0,40.0,2.0,EDGE,EDGE,prediction_complete,26.37
159,Stable,85.0,18.0,20.0,4.0,EDGE,EDGE,prediction_complete,25.55
160,Stable,78.0,18.0,39.0,3.0,EDGE,EDGE,prediction_complete,25.85
161,Stable,78.0,20.0,35.0,2.0,EDGE,EDGE,prediction_complete,26.02
162,Stable,84.0,21.0,34.0,5.0,EDGE,EDGE,prediction_complete,26.11
163,Stable,80.0,20.0,39.0,10.0,EDGE,EDGE,prediction_complete,25.71
164,Stable,76.0,20.0,29.0,2.0,EDGE,EDGE,prediction_complete,25.85
165,Stable,84.0,18.0,29.0,10.0,EDGE,EDGE,prediction_complete,25.16
166,Stable,85.0,24.0,32.0,4.0,EDGE,EDGE,prediction_complete,25.29
167,Stable,76.0,21.0,23.0,5.0,EDGE,EDGE,prediction_complete,24.75
168,Stable,85.0,19.0,38.0,1.0,EDGE,EDGE,prediction_complete,25.34
169,Stable,80.0,24.0,31.0,2.0,EDGE,EDGE,prediction_complete,25.82
170,Stable,83.0,23.0,20.0,7.0,EDGE,EDGE,prediction_complete,24.71
171,Stable,82.0,19.0,33.0,6.0,EDGE,EDGE,prediction_complete,24.4
172,Stable,85.0,25.0,24.0,7.0,EDGE,EDGE,prediction_complete,23.92
173,Stable,77.0,22.0,39.0,9.0,EDGE,EDGE,prediction_complete,23.91
174,Stable,82.0,25.0,33.0,10.0,EDGE,EDGE,prediction_complete,23.64
175,Stable,79.0,23.0,27.0,2.0,EDGE,EDGE,prediction_complete,24.31
176,Stable,79.0,25.0,27.0,8.0,EDGE,EDGE,prediction_complete,24.02
177,Stable,84.0,24.0,30.0,1.0,EDGE,EDGE,prediction_complete,24.72
178,Stable,82.0,23.0,25.0,8.0,EDGE,EDGE,prediction_complete,24.05
179,Stable,78.0,23.0,28.0,6.0,EDGE,EDGE,prediction_complete,23.82
180,Stable,79.0,22.0,37.0,1.0,EDGE,EDGE,prediction_complete,24.96
181,Stable,83.0,21.0,22.0,4.0,EDGE,EDGE,prediction_complete,24.7
182,Stable,81.0,25.0,37.0,4.0,EDGE,EDGE,prediction_complete,25.27
183,Stable,82.0,25.0,34.0,1.0,EDGE,EDGE,prediction_complete,25.81
184,Stable,76.0,22.0,27.0,7.0,EDGE,EDGE,prediction_complete,25.32
185,Stable,78.0,22.0,38.0,6.0,EDGE,EDGE,prediction_complete,25.47
186,Stable,82.0,23.0,33.0,9.0,EDGE,EDGE,prediction_complete,25.28
187,Stable,80.0,23.0,34.0,5.0,EDGE,EDGE,prediction_complete,25.46
188,Stable,79.0,22.0,27.0,2.0,EDGE,EDGE,prediction_complete,25.84
189,Stable,78.0,23.0,23.0,9.0,EDGE,EDGE,prediction_complete,25.02
190,Stable,77.0,21.0,26.0,8.0,EDGE,EDGE,prediction_complete,24.38
191,Stable,79.0,22.0,23.0,4.0,EDGE,EDGE,prediction_complete,24.51
192,Stable,79.0,21.0,31.0,3.0,EDGE,EDGE,prediction_complete,24.76
193,Stable,79.0,18.0,37.0,3.0,EDGE,EDGE,prediction_complete,25.15
194,Stable,79.0,18.0,21.0,9.0,EDGE,EDGE,prediction_complete,24.24
195,Stable,79.0,20.0,40.0,8.0,EDGE,EDGE,prediction_complete,24.32
196,Stable,76.0,18.0,38.0,5.0,EDGE,EDGE,prediction_complete,24.89
197,Stable,82.0,25.0,34.0,6.0,EDGE,EDGE,prediction_complete,25.07
198,Stable,77.0,18.0,28.0,8.0,EDGE,EDGE,prediction_complete,24.58
199,Stable,76.0,19.0,32.0,8.0,EDGE,EDGE,prediction_complete,24.63
200,Stable,76.0,18.0,24.0,3.0,EDGE,EDGE,prediction_complete,24.81
201,Stable,84.0,22.0,22.0,4.0,EDGE,EDGE,prediction_complete,24.73
202,Stable,76.0,24.0,39.0,10.0,EDGE,EDGE,prediction_complete,24.54
203,Stable,84.0,21.0,36.0,7.0,EDGE,EDGE,prediction_complete,24.62
204,Stable,82.0,25.0,29.0,10.0,EDGE,EDGE,prediction_complete,24.39
205,Stable,81.0,22.0,38.0,10.0,EDGE,EDGE,prediction_complete,24.29
206,Stable,75.0,19.0,26.0,4.0,EDGE,EDGE,prediction_complete,24.19
207,Stable,79.0,19.0,25.0,4.0,EDGE,EDGE,prediction_complete,24.18
208,Stable,77.0,19.0,25.0,1.0,EDGE,EDGE,prediction_complete,24.77
209,Stable,81.0,25.0,39.0,8.0,EDGE,EDGE,prediction_complete,24.71
210,Stable,79.0,18.0,27.0,5.0,EDGE,EDGE,prediction_complete,24.58
211,Stable,79.0,25.0,22.0,4.0,EDGE,EDGE,prediction_complete,24.54
212,Stable,79.0,21.0,33.0,2.0,EDGE,EDGE,prediction_complete,24.95
213,Stable,83.0,21.0,40.0,3.0,EDGE,EDGE,prediction_complete,25.65
214,Stable,79.0,20.0,22.0,1.0,EDGE,EDGE,prediction_complete,25.72
215,Stable,77.0,22.0,39.0,10.0,EDGE,EDGE,prediction_complete,25.38
216,Stable,79.0,25.0,23.0,8.0,EDGE,EDGE,prediction_complete,24.77
217,Stable,79.0,24.0,28.0,9.0,EDGE,EDGE,prediction_complete,24.45
218,Stable,83.0,25.0,34.0,2.0,EDGE,EDGE,prediction_complete,25.13
219,Stable,84.0,18.0,33.0,6.0,EDGE,EDGE,prediction_complete,25.05
220,Stable,84.0,22.0,20.0,2.0,EDGE,EDGE,prediction_complete,24.93
221,Stable,78.0,18.0,28.0,10.0,EDGE,EDGE,prediction_complete,24.11
222,Stable,75.0,20.0,35.0,9.0,EDGE,EDGE,prediction_complete,23.86
223,Stable,85.0,25.0,28.0,3.0,EDGE,EDGE,prediction_complete,24.14
224,Stable,84.0,24.0,40.0,8.0,EDGE,EDGE,prediction_complete,24.28
225,Stable,76.0,25.0,31.0,7.0,EDGE,EDGE,prediction_complete,24.17
226,Stable,80.0,23.0,23.0,3.0,EDGE,EDGE,prediction_complete,24.38
227,Stable,80.0,24.0,35.0,5.0,EDGE,EDGE,prediction_complete,24.81
228,Stable,85.0,24.0,37.0,1.0,EDGE,EDGE,prediction_complete,25.57
229,Stable,82.0,19.0,30.0,5.0,EDGE,EDGE,prediction_complete,25.43
230,Stable,80.0,19.0,32.0,9.0,EDGE,EDGE,prediction_complete,24.92
231,Stable,75.0,25.0,33.0,1.0,EDGE,EDGE,prediction_complete,25.69
232,Stable,78.0,23.0,39.0,8.0,EDGE,EDGE,prediction_complete,25.69
233,Stable,85.0,25.0,21.0,4.0,EDGE,EDGE,prediction_complete,25.46
234,Stable,79.0,20.0,29.0,8.0,EDGE,EDGE,prediction_complete,24.94
235,Stable,82.0,19.0,20.0,10.0,EDGE,EDGE,prediction_complete,23.93
236,Stable,78.0,20.0,29.0,9.0,EDGE,EDGE,prediction_complete,23.62
237,Stable,75.0,24.0,22.0,4.0,EDGE,EDGE,prediction_complete,23.58
238,Stable,76.0,25.0,23.0,3.0,EDGE,EDGE,prediction_complete,23.67
239,Stable,82.0,22.0,36.0,5.0,EDGE,EDGE,prediction_complete,24.23
240,Stable,81.0,25.0,35.0,4.0,EDGE,EDGE,prediction_complete,24.85
241,Stable,82.0,20.0,32.0,4.0,EDGE,EDGE,prediction_complete,24.76
242,Stable,84.0,20.0,22.0,5.0,EDGE,EDGE,prediction_complete,24.26
243,Stable,81.0,23.0,36.0,5.0,EDGE,EDGE,prediction_complete,24.61
244,Stable,75.0,22.0,29.0,10.0,EDGE,EDGE,prediction_complete,24.08
245,Stable,84.0,25.0,24.0,8.0,EDGE,EDGE,prediction_complete,24.03
246,Stable,83.0,25.0,31.0,6.0,EDGE,EDGE,prediction_complete,24.22
247,Stable,83.0,24.0,34.0,6.0,EDGE,EDGE,prediction_complete,24.37
248,Stable,78.0,21.0,38.0,7.0,EDGE,EDGE,prediction_complete,24.49
249,Stable,78.0,24.0,21.0,6.0,EDGE,EDGE,prediction_complete,24.09
250,Stable,82.0,24.0,32.0,3.0,EDGE,EDGE,prediction_complete,24.47
251,Stable,82.0,18.0,24.0,9.0,EDGE,EDGE,prediction_complete,23.77
252,Stable,84.0,23.0,23.0,8.0,EDGE,EDGE,prediction_complete,23.44
253,Stable,76.0,25.0,20.0,3.0,EDGE,EDGE,prediction_complete,23.28
254,Stable,81.0,20.0,22.0,8.0,EDGE,EDGE,prediction_complete,22.8
255,Stable,79.0,23.0,39.0,7.0,EDGE,EDGE,prediction_complete,23.44
256,Stable,85.0,19.0,30.0,9.0,EDGE,EDGE,prediction_complete,23.26
257,Stable,81.0,23.0,40.0,8.0,EDGE,EDGE,prediction_complete,23.58
258,Stable,83.0,18.0,39.0,2.0,EDGE,EDGE,prediction_complete,24.35
259,Stable,78.0,22.0,27.0,2.0,EDGE,EDGE,prediction_complete,24.63
260,Stable,81.0,19.0,40.0,2.0,EDGE,EDGE,prediction_complete,25.26
261,Stable,82.0,20.0,29.0,1.0,EDGE,EDGE,prediction_complete,25.79
262,Stable,75.0,23.0,21.0,5.0,EDGE,EDGE,prediction_complete,25.31
263,Stable,80.0,23.0,33.0,3.0,EDGE,EDGE,prediction_complete,25.55
264,Stable,78.0,24.0,38.0,3.0,EDGE,EDGE,prediction_complete,26.27
265,Stable,77.0,20.0,22.0,10.0,EDGE,EDGE,prediction_complete,25.07
266,Stable,81.0,21.0,35.0,10.0,EDGE,EDGE,prediction_complete,25.04
267,Stable,77.0,21.0,34.0,5.0,EDGE,EDGE,prediction_complete,25.34
268,Stable,82.0,22.0,20.0,8.0,EDGE,EDGE,prediction_complete,24.56
269,Stable,79.0,20.0,22.0,8.0,EDGE,EDGE,prediction_complete,23.94
270,Stable,80.0,22.0,40.0,7.0,EDGE,EDGE,prediction_complete,24.22
271,Stable,79.0,25.0,29.0,4.0,EDGE,EDGE,prediction_complete,24.46
272,Stable,81.0,25.0,23.0,4.0,EDGE,EDGE,prediction_complete,24.41
273,Stable,81.0,23.0,38.0,5.0,EDGE,EDGE,prediction_complete,24.7
274,Stable,79.0,18.0,32.0,5.0,EDGE,EDGE,prediction_complete,24.53
275,Stable,75.0,18.0,39.0,8.0,EDGE,EDGE,prediction_complete,24.78
276,Stable,79.0,21.0,39.0,6.0,EDGE,EDGE,prediction_complete,25.3
277,Stable,78.0,21.0,39.0,5.0,EDGE,EDGE,prediction_complete,25.67
278,Stable,85.0,20.0,40.0,2.0,EDGE,EDGE,prediction_complete,26.67
279,Stable,85.0,18.0,29.0,8.0,EDGE,EDGE,prediction_complete,26.11
280,Stable,75.0,23.0,24.0,2.0,EDGE,EDGE,prediction_complete,25.89
281,Stable,79.0,23.0,33.0,3.0,EDGE,EDGE,prediction_complete,26.06
282,Stable,78.0,20.0,37.0,6.0,EDGE,EDGE,prediction_complete,26.11
283,Stable,83.0,22.0,25.0,5.0,EDGE,EDGE,prediction_complete,25.65
284,Stable,82.0,22.0,30.0,2.0,EDGE,EDGE,prediction_complete,25.82
285,Stable,82.0,19.0,24.0,4.0,EDGE,EDGE,prediction_complete,25.3
286,Stable,85.0,24.0,37.0,6.0,EDGE,EDGE,prediction_complete,25.23
287,Stable,76.0,24.0,20.0,5.0,EDGE,EDGE,prediction_complete,24.52
288,Stable,83.0,19.0,34.0,6.0,EDGE,EDGE,prediction_complete,24.44
289,Stable,85.0,22.0,38.0,7.0,EDGE,EDGE,prediction_complete,24.77
290,Stable,85.0,23.0,23.0,4.0,EDGE,EDGE,prediction_complete,24.44
291,Stable,82.0,18.0,39.0,9.0,EDGE,EDGE,prediction_complete,24.1
292,Stable,80.0,21.0,40.0,2.0,EDGE,EDGE,prediction_complete,24.83
293,Stable,85.0,25.0,29.0,7.0,EDGE,EDGE,prediction_complete,24.65
294,Stable,76.0,20.0,21.0,1.0,EDGE,EDGE,prediction_complete,24.56
295,Stable,79.0,25.0,23.0,2.0,EDGE,EDGE,prediction_complete,24.68
296,Stable,78.0,20.0,32.0,8.0,EDGE,EDGE,prediction_complete,24.34
297,Stable,80.0,24.0,38.0,3.0,EDGE,EDGE,prediction_complete,25.13
298,Stable,81.0,19.0,35.0,10.0,EDGE,EDGE,prediction_complete,24.8
299,Stable,81.0,22.0,21.0,6.0,EDGE,EDGE,prediction_complete,24.41
300,Stable,78.0,25.0,34.0,4.0,EDGE,EDGE,prediction_complete,24.96
301,Stable,80.0,19.0,31.0,9.0,EDGE,EDGE,prediction_complete,24.65
302,Stable,85.0,23.0,21.0,7.0,EDGE,EDGE,prediction_complete,23.98
303,Stable,79.0,21.0,23.0,8.0,EDGE,EDGE,prediction_complete,23.55
304,Stable,76.0,21.0,40.0,10.0,EDGE,EDGE,prediction_complete,23.63
305,Stable,75.0,18.0,30.0,4.0,EDGE,EDGE,prediction_complete,23.95
306,Stable,77.0,21.0,22.0,9.0,EDGE,EDGE,prediction_complete,23.45
307,Stable,78.0,21.0,27.0,6.0,EDGE,EDGE,prediction_complete,23.36
308,Stable,77.0,18.0,28.0,3.0,EDGE,EDGE,prediction_complete,23.85
309,Stable,77.0,22.0,25.0,2.0,EDGE,EDGE,prediction_complete,24.44
310,Stable,85.0,18.0,24.0,1.0,EDGE,EDGE,prediction_complete,24.44
311,Stable,80.0,21.0,38.0,6.0,EDGE,EDGE,prediction_complete,24.68
312,Stable,75.0,20.0,28.0,1.0,EDGE,EDGE,prediction_complete,25.22
313,Stable,77.0,24.0,36.0,2.0,EDGE,EDGE,prediction_complete,25.95
314,Stable,76.0,25.0,34.0,6.0,EDGE,EDGE,prediction_complete,25.89
315,Stable,83.0,19.0,34.0,9.0,EDGE,EDGE,prediction_complete,25.46
316,Stable,78.0,18.0,36.0,5.0,EDGE,EDGE,prediction_complete,25.86
317,Stable,82.0,18.0,21.0,8.0,EDGE,EDGE,prediction_complete,25.08
318,Stable,81.0,24.0,23.0,8.0,EDGE,EDGE,prediction_complete,24.46
319,Stable,82.0,19.0,22.0,6.0,EDGE,EDGE,prediction_complete,24.0
320,Stable,84.0,20.0,22.0,3.0,EDGE,EDGE,prediction_complete,23.99
321,Stable,79.0,23.0,32.0,10.0,EDGE,EDGE,prediction_complete,23.46
322,Stable,83.0,22.0,34.0,9.0,EDGE,EDGE,prediction_complete,23.23
323,Stable,84.0,24.0,23.0,2.0,EDGE,EDGE,prediction_complete,23.22
