Time,Scenario,Bandwidth_Mbps,Input_Network_Latency_ms,CPU_Usage_percent,Task_Size_MB,Existing_Decision,Proposed_Decision,Estimated_EDGE_Latency_ms,Estimated_CLOUD_Latency_ms,Existing_Estimated_Latency_ms,Proposed_Estimated_Latency_ms
246,Stable,83.0,25.0,31.0,6.0,EDGE,EDGE,703.1999999999999,730.7532530120483,703.1999999999999,703.1999999999999
247,Stable,83.0,24.0,34.0,6.0,EDGE,EDGE,724.8,730.4732530120482,724.8,724.8
248,Stable,78.0,21.0,38.0,7.0,EDGE,EDGE,879.2,889.5887179487179,879.2,879.2
249,Stable,78.0,24.0,21.0,6.0,EDGE,EDGE,631.1999999999999,764.4246153846154,631.1999999999999,631.1999999999999
250,Stable,82.0,24.0,32.0,3.0,EDGE,EDGE,355.2,380.5229268292683,355.2,355.2
251,Stable,82.0,18.0,24.0,9.0,EDGE,EDGE,979.1999999999999,1084.688780487805,979.1999999999999,979.1999999999999
252,Stable,84.0,23.0,23.0,8.0,EDGE,EDGE,860.8,952.2647619047618,860.8,860.8
253,Stable,76.0,25.0,20.0,3.0,EDGE,EDGE,312.0,403.1894736842105,312.0,312.0
254,Stable,81.0,20.0,22.0,8.0,EDGE,EDGE,851.2,977.1634567901235,851.2,851.2
255,Stable,79.0,23.0,39.0,7.0,EDGE,EDGE,887.6,882.780759493671,887.6,887.6
256,Stable,85.0,19.0,30.0,9.0,EDGE,EDGE,1044.0,1056.8588235294117,1044.0,1044.0
257,Stable,81.0,23.0,40.0,8.0,EDGE,EDGE,1024.0,985.9234567901235,1024.0,1024.0
