Time,Scenario,Bandwidth_Mbps,Latency_ms,CPU_Usage_percent,Task_Size_MB
106,Stable,79,19,28,6
107,Stable,85,24,37,6
108,Stable,75,19,28,3
109,Stable,84,22,21,2
110,Stable,84,24,31,6
111,Stable,81,19,32,10
112,Stable,78,22,21,7
113,Stable,75,21,31,7
114,Stable,76,23,39,6
115,Stable,85,19,29,9
116,Stable,79,24,30,7
117,Stable,79,20,26,7
118,Stable,85,24,25,10
119,Stable,84,22,32,9
120,Stable,75,22,29,4
121,Stable,81,23,34,8
122,Stable,82,21,36,8
123,Stable,77,19,29,9
124,Stable,85,23,22,4
125,Stable,85,22,27,4
126,Stable,77,18,21,4
127,Stable,82,19,34,7
128,Stable,85,21,32,8
129,Stable,81,21,24,1
130,Stable,76,24,27,3
131,Stable,83,25,21,9
132,Stable,78,19,34,3
133,Stable,82,23,34,10
134,Stable,83,24,37,8
135,Stable,77,25,34,5
136,Stable,78,22,36,8
137,Stable,85,21,28,8
138,Stable,76,22,27,5
139,Stable,80,23,37,2
140,Stable,77,20,27,7
141,Stable,77,21,22,7
142,Stable,81,23,37,8
143,Stable,81,18,26,7
144,Stable,81,18,38,7
145,Stable,82,18,31,5
146,Stable,81,24,37,9
147,Stable,84,21,35,4
148,Stable,79,24,35,1
149,Stable,81,23,32,3
150,Stable,82,20,39,9
151,Stable,75,24,38,10
152,Stable,85,18,22,7
153,Stable,77,25,25,1
154,Stable,79,24,30,4
155,Stable,82,23,30,7
156,Stable,79,24,28,2
157,Stable,82,18,37,1
158,Stable,80,21,40,2
159,Stable,85,18,20,4
160,Stable,78,18,39,3
161,Stable,78,20,35,2
162,Stable,84,21,34,5
163,Stable,80,20,39,10
164,Stable,76,20,29,2
165,Stable,84,18,29,10
166,Stable,85,24,32,4
167,Stable,76,21,23,5
168,Stable,85,19,38,1
169,Stable,80,24,31,2
170,Stable,83,23,20,7
171,Stable,82,19,33,6
172,Stable,85,25,24,7
173,Stable,77,22,39,9
174,Stable,82,25,33,10
175,Stable,79,23,27,2
176,Stable,79,25,27,8
177,Stable,84,24,30,1
178,Stable,82,23,25,8
179,Stable,78,23,28,6
180,Stable,79,22,37,1
181,Stable,83,21,22,4
182,Stable,81,25,37,4
183,Stable,82,25,34,1
184,Stable,76,22,27,7
185,Stable,78,22,38,6
186,Stable,82,23,33,9
187,Stable,80,23,34,5
188,Stable,79,22,27,2
189,Stable,78,23,23,9
190,Stable,77,21,26,8
191,Stable,79,22,23,4
192,Stable,79,21,31,3
193,Stable,79,18,37,3
194,Stable,79,18,21,9
195,Stable,79,20,40,8
196,Stable,76,18,38,5
197,Stable,82,25,34,6
198,Stable,77,18,28,8
199,Stable,76,19,32,8
200,Stable,76,18,24,3
201,Stable,84,22,22,4
202,Stable,76,24,39,10
203,Stable,84,21,36,7
204,Stable,82,25,29,10
205,Stable,81,22,38,10
206,Stable,75,19,26,4
207,Stable,79,19,25,4
208,Stable,77,19,25,1
209,Stable,81,25,39,8
210,Stable,79,18,27,5
211,Stable,79,25,22,4
212,Stable,79,21,33,2
213,Stable,83,21,40,3
214,Stable,79,20,22,1
215,Stable,77,22,39,10
216,Stable,79,25,23,8
217,Stable,79,24,28,9
218,Stable,83,25,34,2
219,Stable,84,18,33,6
220,Stable,84,22,20,2
221,Stable,78,18,28,10
222,Stable,75,20,35,9
223,Stable,85,25,28,3
224,Stable,84,24,40,8
225,Stable,76,25,31,7
226,Stable,80,23,23,3
227,Stable,80,24,35,5
228,Stable,85,24,37,1
229,Stable,82,19,30,5
230,Stable,80,19,32,9
231,Stable,75,25,33,1
232,Stable,78,23,39,8
233,Stable,85,25,21,4
234,Stable,79,20,29,8
235,Stable,82,19,20,10
236,Stable,78,20,29,9
237,Stable,75,24,22,4
238,Stable,76,25,23,3
239,Stable,82,22,36,5
240,Stable,81,25,35,4
241,Stable,82,20,32,4
242,Stable,84,20,22,5
243,Stable,81,23,36,5
244,Stable,75,22,29,10
245,Stable,84,25,24,8
246,Stable,83,25,31,6
247,Stable,83,24,34,6
248,Stable,78,21,38,7
249,Stable,78,24,21,6
250,Stable,82,24,32,3
251,Stable,82,18,24,9
252,Stable,84,23,23,8
253,Stable,76,25,20,3
254,Stable,81,20,22,8
255,Stable,79,23,39,7
256,Stable,85,19,30,9
257,Stable,81,23,40,8
258,Stable,83,18,39,2
259,Stable,78,22,27,2
260,Stable,81,19,40,2
261,Stable,82,20,29,1
262,Stable,75,23,21,5
263,Stable,80,23,33,3
264,Stable,78,24,38,3
265,Stable,77,20,22,10
266,Stable,81,21,35,10
267,Stable,77,21,34,5
268,Stable,82,22,20,8
269,Stable,79,20,22,8
270,Stable,80,22,40,7
271,Stable,79,25,29,4
272,Stable,81,25,23,4
273,Stable,81,23,38,5
274,Stable,79,18,32,5
275,Stable,75,18,39,8
276,Stable,79,21,39,6
277,Stable,78,21,39,5
278,Stable,85,20,40,2
279,Stable,85,18,29,8
280,Stable,75,23,24,2
281,Stable,79,23,33,3
282,Stable,78,20,37,6
283,Stable,83,22,25,5
284,Stable,82,22,30,2
285,Stable,82,19,24,4
286,Stable,85,24,37,6
287,Stable,76,24,20,5
288,Stable,83,19,34,6
289,Stable,85,22,38,7
290,Stable,85,23,23,4
291,Stable,82,18,39,9
292,Stable,80,21,40,2
293,Stable,85,25,29,7
294,Stable,76,20,21,1
295,Stable,79,25,23,2
296,Stable,78,20,32,8
297,Stable,80,24,38,3
298,Stable,81,19,35,10
299,Stable,81,22,21,6
300,Stable,78,25,34,4
301,Stable,80,19,31,9
302,Stable,85,23,21,7
303,Stable,79,21,23,8
304,Stable,76,21,40,10
305,Stable,75,18,30,4
306,Stable,77,21,22,9
307,Stable,78,21,27,6
308,Stable,77,18,28,3
309,Stable,77,22,25,2
310,Stable,85,18,24,1
311,Stable,80,21,38,6
312,Stable,75,20,28,1
313,Stable,77,24,36,2
314,Stable,76,25,34,6
315,Stable,83,19,34,9
316,Stable,78,18,36,5
317,Stable,82,18,21,8
318,Stable,81,24,23,8
319,Stable,82,19,22,6
320,Stable,84,20,22,3
321,Stable,79,23,32,10
322,Stable,83,22,34,9
323,Stable,84,24,23,2
324,Stable,85,21,33,8
325,Stable,78,24,30,8
326,Stable,81,24,23,6
327,Stable,81,23,28,6
328,Stable,77,25,22,2
329,Stable,76,19,33,2
330,Stable,80,20,37,1
331,Stable,84,23,23,7
332,Stable,80,24,21,5
333,Stable,84,22,31,2
334,Stable,84,21,24,8
335,Stable,78,19,31,9
336,Stable,80,19,28,10
337,Stable,78,24,37,10
338,Stable,84,18,39,5
339,Stable,75,20,28,5
340,Stable,80,23,20,3
341,Stable,77,24,22,3
342,Stable,85,18,22,9
343,Stable,78,24,33,8
344,Stable,80,20,31,5
345,Stable,80,19,21,3
346,Stable,77,18,22,5
347,Stable,82,24,35,10
348,Stable,82,24,28,4
349,Stable,83,19,31,7
350,Stable,76,22,38,8
351,Stable,83,22,21,4
352,Stable,81,18,20,4
353,Stable,79,21,24,5
354,Stable,79,23,23,1
355,Stable,82,24,25,3
356,Stable,81,21,36,9
357,Stable,85,23,22,7
358,Stable,75,24,20,8
359,Stable,76,23,38,7
360,Stable,84,24,40,7
361,Stable,79,19,32,1
362,Stable,80,20,39,8
363,Stable,80,19,33,2
364,Stable,78,24,38,7
365,Stable,83,19,32,5
366,Stable,80,21,30,3
367,Stable,76,19,36,9
368,Stable,78,23,31,3
369,Stable,78,19,24,5
370,Stable,78,20,39,3
371,Stable,85,19,25,8
372,Stable,82,25,38,10
373,Stable,80,23,24,8
374,Stable,76,25,34,5
375,Stable,79,18,31,9
376,Stable,76,22,34,8
377,Stable,75,18,31,5
378,Stable,76,19,39,10
379,Stable,83,24,34,10
380,Stable,83,18,34,10
381,Stable,85,21,30,10
382,Stable,82,20,21,8
383,Stable,76,23,22,9
384,Stable,85,20,21,4
385,Stable,82,25,36,9
386,Stable,84,20,31,6
387,Stable,79,24,33,6
388,Stable,85,18,40,6
389,Stable,76,23,23,9
390,Stable,85,24,29,5
391,Stable,85,20,30,2
392,Stable,84,20,31,5
393,Stable,85,24,24,10
394,Stable,76,22,37,7
395,Stable,85,23,24,9
396,Stable,76,24,36,6
397,Stable,75,23,29,3
398,Stable,78,23,35,4
399,Stable,78,20,24,2
400,Stable,79,19,36,9
401,Stable,83,18,30,10
402,Stable,77,24,24,3
403,Stable,77,20,34,1
404,Stable,81,23,27,8
405,Stable,84,22,34,4
406,Stable,83,21,29,8
407,Stable,78,23,38,8
408,Stable,82,22,32,9
409,Stable,83,24,25,4
410,Stable,84,20,28,1
411,Stable,85,25,31,9
412,Stable,76,19,29,2
413,Stable,77,22,34,9
414,Stable,77,24,22,4
415,Stable,82,23,20,7
416,Stable,75,24,36,6
417,Stable,78,24,22,6
418,Stable,78,18,30,2
419,Stable,85,23,24,3
420,Stable,75,22,35,3
421,Stable,82,25,39,1
422,Stable,76,18,28,4
423,Stable,77,24,23,5
424,Stable,78,22,23,1
425,Stable,78,24,40,10
426,Stable,82,19,23,8
427,Stable,84,18,40,9
428,Stable,84,21,24,5
429,Stable,81,18,39,6
430,Stable,78,24,25,2
431,Stable,83,23,22,9
432,Stable,83,18,32,8
433,Stable,75,24,31,5
434,Stable,75,23,22,6
435,Stable,78,19,38,6
436,Stable,77,18,31,9
437,Stable,80,20,34,8
438,Stable,85,20,24,2
439,Stable,82,18,29,4
440,Stable,75,21,21,6
441,Stable,79,24,37,8
442,Stable,79,18,40,4
443,Stable,79,23,21,6
444,Stable,79,19,31,7
445,Stable,81,25,32,6
446,Stable,77,25,35,6
447,Stable,83,22,22,7
448,Stable,76,24,39,3
449,Stable,83,22,30,2
450,Stable,76,23,29,5
451,Stable,82,24,25,8
452,Stable,80,25,21,6
453,Stable,84,24,28,1
454,Stable,76,24,31,9
455,Stable,85,20,20,3
456,Stable,84,25,21,3
457,Stable,76,21,40,6
458,Stable,80,24,38,1
459,Stable,84,20,34,6
460,Stable,80,25,22,10
461,Stable,77,23,32,6
462,Stable,85,22,27,2
463,Stable,75,20,35,9
464,Stable,81,19,28,5
465,Stable,82,21,39,5
466,Stable,82,21,23,3
467,Stable,76,25,25,8
468,Stable,76,23,31,2
469,Stable,83,22,29,3
470,Stable,85,20,31,9
471,Stable,78,19,26,3
472,Stable,78,25,20,6
473,Stable,83,23,34,9
474,Stable,77,19,22,5
475,Stable,81,25,36,7
476,Stable,81,19,24,6
477,Stable,85,19,34,8
478,Stable,85,23,24,9
479,Stable,85,20,24,7
480,Stable,83,18,23,9
481,Stable,77,22,25,3
482,Stable,80,21,31,9
483,Stable,79,19,28,4
484,Stable,85,22,24,5
485,Stable,84,19,36,3
486,Stable,84,20,25,10
487,Stable,84,23,38,1
488,Stable,75,19,21,10
489,Stable,79,21,38,7
490,Stable,84,18,35,9
491,Stable,79,22,35,4
492,Stable,85,24,29,8
493,Stable,76,18,25,8
494,Stable,81,25,34,4
495,Stable,80,20,30,6
496,Stable,80,24,24,6
497,Stable,83,19,30,4
498,Stable,82,19,28,8
499,Stable,78,20,23,1
500,Stable,79,24,39,7
501,Stable,78,20,30,10
502,Stable,80,21,25,8
503,Stable,83,25,35,5
504,Stable,82,18,22,7
505,Stable,83,25,27,4
506,Stable,84,23,21,1
507,Stable,79,25,39,8
508,Stable,79,18,23,7
509,Stable,77,22,31,7
510,Stable,80,18,32,1
511,Stable,84,21,31,9
512,Stable,79,19,32,9
513,Stable,82,22,39,10
514,Stable,76,20,23,7
515,Stable,80,23,37,6
516,Stable,77,21,39,9
517,Stable,81,18,21,1
518,Stable,77,23,35,9
519,Stable,82,20,39,9
520,Stable,77,23,39,6
521,Stable,77,24,39,5
522,Stable,84,23,36,9
523,Stable,83,25,38,5
524,Stable,82,18,31,6
525,Stable,85,19,33,10
526,Stable,79,18,39,8
527,Stable,79,21,21,10
528,Stable,82,20,36,10
529,Stable,81,20,27,1
530,Stable,84,19,26,1
531,Stable,82,23,33,3
532,Stable,81,21,33,9
533,Stable,84,25,21,3
534,Stable,83,21,37,6
535,Stable,85,25,36,7
536,Stable,80,20,34,9
537,Stable,80,23,40,5
538,Stable,84,25,26,4
539,Stable,79,22,27,5
540,Stable,79,21,35,6
541,Stable,82,23,37,5
542,Stable,79,19,38,9
543,Stable,81,24,31,3
544,Stable,79,18,29,2
545,Stable,80,25,40,5
546,Stable,82,21,26,9
547,Stable,79,22,24,2
548,Stable,84,21,27,1
549,Stable,85,21,40,4
550,Stable,75,19,33,6
551,Stable,82,19,24,1
552,Stable,83,20,33,8
553,Stable,82,21,29,6
554,Stable,79,18,22,10
555,Stable,78,18,25,7
556,Stable,77,18,32,8
557,Stable,77,22,21,1
558,Stable,79,19,30,5
559,Stable,82,25,24,9
560,Stable,82,22,26,2
561,Stable,80,20,34,5
562,Stable,77,18,30,5
563,Stable,84,21,25,10
564,Stable,85,24,33,9
565,Stable,80,19,32,2
566,Stable,77,20,35,6
567,Stable,78,18,28,7
568,Stable,78,25,28,6
569,Stable,79,18,28,6
570,Stable,78,18,23,8
571,Stable,79,20,32,9
572,Stable,79,19,40,5
573,Stable,80,21,27,3
574,Stable,82,20,34,10
575,Stable,80,24,37,8
576,Stable,83,21,27,10
577,Stable,76,25,36,6
578,Stable,76,19,21,9
579,Stable,83,21,38,9
580,Stable,77,20,30,9
581,Stable,82,19,26,10
582,Stable,82,19,36,8
583,Stable,75,25,24,9
584,Stable,81,25,38,1
585,Stable,83,25,29,1
586,Stable,81,22,20,4
587,Stable,84,19,21,7
588,Stable,80,19,37,1
589,Stable,76,25,21,5
590,Stable,81,20,24,7
591,Stable,80,24,34,7
592,Stable,81,19,37,3
593,Stable,85,23,23,3
594,Stable,83,24,36,3
595,Stable,78,18,20,5
596,Stable,82,24,37,7
597,Stable,78,21,34,6
598,Stable,77,22,26,2
599,Stable,75,24,39,1
600,Stable,78,21,22,2
601,Stable,84,18,34,10
602,Stable,85,18,27,1
603,Stable,81,25,27,9
604,Stable,78,18,24,9
605,Stable,79,21,38,6
606,Stable,84,23,27,5
607,Stable,77,21,33,5
608,Stable,79,18,37,10
609,Stable,77,24,37,8
610,Stable,75,23,40,7
611,Stable,83,23,33,7
612,Stable,77,22,32,3
613,Stable,83,25,27,4
614,Stable,79,20,34,1
615,Stable,83,24,33,9
616,Stable,83,20,32,4
617,Stable,79,21,30,2
618,Stable,82,23,22,9
619,Stable,78,18,28,7
620,Stable,85,18,22,4
621,Stable,84,21,35,4
622,Stable,80,22,20,4
623,Stable,78,19,35,4
624,Stable,84,21,32,4
625,Stable,83,23,29,7
626,Stable,82,23,29,5
627,Stable,80,25,34,2
628,Stable,82,23,26,6
629,Stable,80,24,21,10
630,Stable,78,20,20,5
631,Stable,83,24,29,3
632,Stable,78,23,27,7
633,Stable,84,21,35,9
634,Stable,85,23,28,8
635,Stable,85,25,34,3
636,Stable,80,20,24,9
637,Stable,82,20,37,1
638,Stable,83,18,22,1
639,Stable,75,24,24,4
640,Stable,76,20,20,4
641,Stable,83,25,31,1
642,Stable,84,25,35,1
643,Stable,75,24,20,1
644,Stable,83,22,37,5
645,Stable,75,24,25,2
646,Stable,76,20,27,4
647,Stable,84,22,31,5
648,Stable,81,19,31,7
649,Stable,82,21,27,5
650,Stable,85,19,40,1
651,Stable,76,24,32,7
652,Stable,83,25,21,1
653,Stable,77,19,35,7
654,Stable,85,23,38,2
655,Stable,83,18,27,4
656,Stable,84,25,28,1
657,Stable,76,22,37,10
658,Stable,85,18,25,6
659,Stable,75,21,38,3
660,Stable,81,19,29,3
661,Stable,84,21,38,7
662,Stable,85,23,32,3
663,Stable,76,23,21,2
664,Stable,81,21,22,6
665,Stable,84,24,30,1
666,Stable,85,22,34,8
667,Stable,78,23,37,7
668,Stable,81,20,38,7
669,Stable,76,22,27,2
670,Stable,76,22,24,7
671,Stable,85,20,32,6
672,Stable,80,19,22,1
673,Stable,79,25,31,5
674,Stable,76,20,22,3
675,Stable,81,25,37,9
676,Stable,83,24,23,1
677,Stable,76,23,37,2
678,Stable,84,23,32,1
679,Stable,79,24,32,2
680,Stable,83,21,38,9
681,Stable,77,24,25,3
682,Stable,79,22,28,8
683,Stable,77,19,25,7
684,Stable,79,24,29,8
685,Stable,76,23,28,4
686,Stable,85,25,39,10
687,Stable,78,25,23,3
688,Stable,79,18,32,6
689,Stable,84,24,30,8
690,Stable,80,24,40,10
691,Stable,77,22,30,10
692,Stable,78,25,30,3
693,Stable,81,23,29,8
694,Stable,84,21,30,7
695,Stable,79,24,31,2
696,Stable,84,21,38,9
697,Stable,77,18,34,4
698,Stable,82,22,22,7
699,Stable,85,25,24,5
700,Stable,78,22,24,7
701,Stable,81,19,34,10
702,Stable,82,24,37,9
703,Stable,81,18,31,9
704,Stable,84,19,23,4
705,Stable,85,23,25,10
706,Stable,75,24,30,7
707,Stable,76,18,23,5
708,Stable,78,21,34,6
709,Stable,81,25,38,9
710,Stable,77,23,20,8
711,Stable,76,22,33,2
712,Stable,76,20,31,5
713,Stable,80,25,26,9
714,Stable,82,23,35,2
715,Stable,82,25,30,2
716,Stable,79,18,23,1
717,Stable,80,19,25,4
718,Stable,83,20,37,3
719,Stable,80,24,34,4
720,Stable,81,20,25,7
721,Stable,81,18,39,4
722,Stable,82,24,32,1
723,Stable,78,21,28,2
724,Stable,84,19,37,3
725,Stable,80,23,26,8
726,Stable,76,22,35,9
727,Stable,85,23,39,7
728,Stable,84,24,38,2
729,Stable,80,23,34,10
730,Stable,77,22,39,10
731,Stable,76,20,30,2
732,Stable,78,22,23,3
733,Stable,80,20,36,7
734,Stable,81,20,38,7
735,Stable,81,20,35,9
736,Stable,85,20,37,3
737,Stable,82,22,24,3
738,Stable,80,25,39,1
739,Stable,80,18,35,3
740,Stable,78,24,37,9
741,Stable,85,25,33,8
742,Stable,81,25,35,3
743,Stable,76,18,27,5
744,Stable,75,22,27,9
745,Stable,79,20,34,10
746,Stable,82,19,38,2
747,Stable,79,23,37,1
748,Stable,82,21,33,2
749,Stable,85,21,29,1
750,Stable,82,22,31,2
751,Stable,82,19,27,4
752,Stable,84,23,39,7
753,Stable,77,20,26,4
754,Stable,75,23,37,5
755,Stable,84,20,30,5
756,Stable,79,22,36,2
757,Stable,77,24,21,5
758,Stable,85,20,24,4
759,Stable,77,23,27,7
760,Stable,82,20,38,5
761,Stable,85,24,32,8
762,Stable,76,19,32,9
763,Stable,79,23,34,8
764,Stable,80,18,22,8
765,Stable,85,23,22,9
766,Stable,81,21,33,4
767,Stable,82,22,30,5
768,Stable,80,20,38,8
769,Stable,80,18,21,2
770,Stable,85,25,20,2
771,Stable,77,25,34,1
772,Stable,81,21,24,5
773,Stable,77,22,22,6
774,Stable,79,19,31,3
775,Stable,75,24,40,5
776,Stable,78,24,40,2
777,Stable,76,18,26,8
778,Stable,76,20,38,4
779,Stable,83,25,20,1
780,Stable,80,19,33,3
781,Stable,82,19,27,7
782,Stable,76,19,23,6
783,Stable,80,22,24,7
784,Stable,77,20,22,9
785,Stable,84,18,39,3
786,Stable,82,23,26,3
787,Stable,81,25,26,2
788,Stable,76,20,23,10
789,Stable,81,23,33,6
790,Stable,77,21,28,2
791,Stable,78,22,20,5
792,Stable,78,21,32,5
793,Stable,85,18,27,8
794,Stable,81,19,27,8
795,Stable,85,19,36,1
796,Stable,80,23,24,7
797,Stable,84,24,31,9
798,Stable,85,20,35,2
799,Stable,75,19,20,5
800,Stable,78,18,21,7
801,Stable,83,22,40,9
802,Stable,81,24,32,2
803,Stable,85,20,28,2
804,Stable,79,19,36,4
805,Stable,77,23,32,10
806,Stable,85,19,29,7
807,Stable,78,18,27,2
808,Stable,81,19,34,10
809,Stable,84,18,29,3
810,Stable,76,18,24,1
811,Stable,77,25,31,9
812,Stable,83,22,25,6
813,Stable,77,22,23,1
814,Stable,80,24,28,9
815,Stable,76,22,38,2
816,Stable,82,25,36,6
817,Stable,75,25,38,3
818,Stable,80,20,28,2
819,Stable,84,19,27,9
820,Stable,75,18,20,4
821,Stable,75,25,31,7
822,Stable,77,20,21,9
823,Stable,85,24,27,6
824,Stable,78,24,30,5
825,Stable,76,23,23,9
826,Stable,85,18,25,4
827,Stable,83,18,32,2
828,Stable,82,22,29,6
829,Stable,76,25,20,6
830,Stable,78,22,38,5
831,Stable,84,21,34,6
832,Stable,84,25,26,9
833,Stable,78,20,20,7
834,Stable,75,21,37,6
835,Stable,85,18,30,1
836,Stable,85,24,29,2
837,Stable,78,21,33,8
838,Stable,75,20,28,2
839,Stable,75,21,36,7
840,Stable,80,25,22,10
841,Stable,76,20,40,7
842,Stable,76,18,33,3
843,Stable,78,22,28,6
844,Stable,81,23,30,8
845,Stable,79,21,22,4
846,Stable,77,19,24,2
847,Stable,77,25,34,6
848,Stable,81,19,37,6
849,Stable,78,25,29,8
850,Stable,79,19,22,3
851,Stable,85,22,39,1
852,Stable,78,23,24,2
853,Stable,78,23,32,9
854,Stable,75,22,28,3
855,Stable,75,24,34,9
856,Stable,83,21,23,8
857,Stable,76,20,23,1
858,Stable,75,21,24,4
859,Stable,81,23,40,2
860,Stable,84,22,22,1
861,Stable,76,21,40,8
862,Stable,77,19,30,2
863,Stable,75,25,21,3
864,Stable,84,24,32,8
865,Stable,75,24,33,3
866,Stable,80,21,25,5
867,Stable,79,25,24,1
868,Stable,84,21,40,5
869,Stable,82,24,37,8
870,Stable,75,19,28,7
871,Stable,77,24,26,9
872,Stable,78,18,32,6
873,Stable,82,25,31,10
874,Stable,83,23,32,5
875,Stable,77,18,30,10
876,Stable,78,18,28,1
877,Stable,82,23,38,4
878,Stable,77,19,27,4
879,Stable,79,18,27,10
880,Stable,81,23,25,3
881,Stable,78,23,31,10
882,Stable,75,23,38,10
883,Stable,77,21,35,9
884,Stable,79,20,35,1
885,Stable,76,18,27,10
886,Stable,78,18,36,8
887,Stable,75,23,39,4
888,Stable,77,23,25,6
889,Stable,75,18,24,10
890,Stable,77,19,36,6
891,Stable,76,23,32,10
892,Stable,76,23,29,6
893,Stable,77,20,33,8
894,Stable,85,23,25,9
895,Stable,84,23,27,10
896,Stable,77,24,29,5
897,Stable,77,20,20,10
898,Stable,81,18,25,10
899,Stable,80,21,40,10
900,Stable,76,25,24,6
901,Stable,76,21,31,6
902,Stable,77,19,40,6
903,Stable,82,18,28,4
904,Stable,78,19,31,5
905,Stable,76,18,21,7
906,Stable,82,24,25,7
907,Stable,82,24,31,9
908,Stable,81,19,35,10
909,Stable,85,21,25,8
910,Stable,76,18,29,1
911,Stable,80,22,23,2
912,Stable,80,20,32,3
913,Stable,76,19,30,10
914,Stable,84,25,20,7
915,Stable,85,20,39,7
916,Stable,77,18,23,6
917,Stable,78,21,33,9
918,Stable,83,22,29,5
919,Stable,78,19,21,7
920,Stable,84,25,24,1
921,Stable,80,18,33,2
922,Stable,79,25,26,2
923,Stable,75,21,25,5
924,Stable,76,25,23,5
925,Stable,81,25,35,5
926,Stable,76,24,25,6
927,Stable,81,23,25,8
928,Stable,75,22,34,8
929,Stable,79,21,28,10
930,Stable,75,20,23,2
931,Stable,85,23,37,7
932,Stable,84,21,37,1
933,Stable,81,24,37,8
934,Stable,84,21,35,5
935,Stable,76,24,21,9
936,Stable,84,20,23,8
937,Stable,77,20,26,4
938,Stable,77,18,33,2
939,Stable,85,24,26,3
940,Stable,84,22,30,2
941,Stable,76,24,37,7
942,Stable,83,23,28,9
943,Stable,82,18,39,10
944,Stable,83,24,23,7
945,Stable,77,20,38,10
946,Stable,84,19,23,10
947,Stable,76,22,37,6
948,Stable,81,22,32,8
949,Stable,84,25,21,3
950,Stable,79,24,24,10
951,Stable,84,24,21,7
952,Stable,80,21,21,8
953,Stable,79,23,20,6
954,Stable,79,22,28,8
955,Stable,85,19,27,3
956,Stable,79,25,30,5
957,Stable,81,19,26,8
958,Stable,78,24,35,9
959,Stable,80,18,36,3
960,Stable,76,22,36,7
961,Stable,77,18,25,4
962,Stable,78,18,27,1
963,Stable,82,18,31,4
964,Stable,79,23,34,9
965,Stable,81,19,20,4
966,Stable,80,25,39,8
967,Stable,77,25,38,9
968,Stable,80,23,25,5
969,Stable,76,22,20,7
970,Stable,75,20,38,4
971,Stable,78,21,26,5
972,Stable,85,24,36,1
973,Stable,85,18,35,3
974,Stable,85,20,39,1
975,Stable,78,22,39,5
976,Stable,85,22,33,7
977,Stable,80,25,28,4
978,Stable,82,22,36,10
979,Stable,81,19,20,9
980,Stable,85,23,37,10
981,Stable,84,22,29,2
982,Stable,82,19,30,5
983,Stable,85,23,28,5
984,Stable,85,22,26,3
985,Stable,83,21,21,10
986,Stable,81,23,24,1
987,Stable,85,25,29,5
988,Stable,81,24,32,1
989,Stable,84,21,30,4
990,Stable,85,25,31,9
991,Stable,79,20,37,3
992,Stable,79,19,35,3
993,Stable,79,20,30,2
